Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Standard,5.6.6.1,VI.B.5,Knows counting sequence is constant,,,,PK,,- Recites numbers in order during play.
Developmental Milestones,5.6.6.1.1,VI.B.5.a,'Understands that numbers follow a specific order',,,,PK,,- Points to numbers in the right order when counting.
Developmental Milestones,5.6.6.1.2,VI.B.5.b,'Recognizes the stability of the counting sequence',,,,PK,,- Says numbers in order while counting objects.
Developmental Milestones,5.6.6.1.3,VI.B.5.c,'Applies consistent counting sequence in different contexts',,,,PK,,- Counts objects in order during play and daily activities.
Standard,5.6.6.2,VI.B.4,Understands addition as putting together and adding to,,,,PK,,Puts toys together to make a bigger group.
Developmental Milestones,5.6.6.2.1,VI.B.4.a,Ability to Identify Number Values,,,,PK,,"- Points to or shows interest in small groups of objects, like two blocks or three toys."
Developmental Milestones,5.6.6.2.2,VI.B.4.b,Mathematical Manipulatives Understanding,,,,PK,,- Stacks blocks to explore sizes and shapes.
Developmental Milestones,5.6.6.2.3,VI.B.4.c,Application of Addition in Everyday Context,,,,PK,,- Count objects while playing to show understanding of adding.
Standard,5.7,MATH.7,Child understands simple patterns,,,,,,- Notices and repeats simple patterns.
Label,5.7.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.7.1.1,,"Recognizes repetitive patterns in sounds, such as lullabies.",,,,,,"- Notices and responds to familiar tunes or rhythms, like lullabies."
Label,5.7.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.7.2.1,,"Responds to visual patterns, like stripes or checkers.",,,,,,- Looks at and follows striped or checkered patterns.
Label,5.7.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.7.3.1,,"Matches objects to continue a simple pattern (e.g., toy-car-toy).",,,,,,- Puts toy cars in a row to make a pattern.
Label,5.7.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.7.4.1,,"Recognizes and extends AB patterns (e.g., red-blue-red-blue).",,,,,,- Matches and repeats simple color patterns like red-blue-red-blue.
Label,5.7.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.7.5.1,MATH.7.a,"Child identifies and describes simple sequences of objects based on their characteristics (color, shape, size, etc.).",,,,,,- Sorts toys by color or shape.
Developmental Milestones,5.7.5.2,MATH.7.b,Child predicts what comes next in a simple pattern.,,,,,,- Identifies what comes next in a simple pattern.
Developmental Milestones,5.7.5.3,MATH.7.c,Child recreates or continues a simple pattern using physical objects or images.,,,,,,Lines up blocks in a simple color pattern.
Label,5.7.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.7.6.1,VI.E.4,Recognizes patterns,,,,PK,,- Spots repeating shapes or colors in a sequence.
Developmental Milestones,5.7.6.1.1,VI.E.4.a,Identifies Simple Patterns,,,,PK,,"- Notices and follows simple patterns, like clapping or stacking blocks in a sequence."
Developmental Milestones,5.7.6.1.2,VI.E.4.b,Predicts Patterns,,,,PK,,- Notices and follows simple patterns.
Developmental Milestones,5.7.6.1.3,VI.E.4.c,Creates Patterns,,,,PK,,Lines up blocks in a simple repeating pattern.
Standard,5.7.6.2,VI.E.5,Creates and extends patterns,,,,PK,,Stacks blocks in a repeating color order.
Developmental Milestones,5.7.6.2.1,VI.E.5.a,Duplicates Patterns,,,,PK,,- Copies simple patterns with blocks or toys.
Developmental Milestones,5.7.6.2.2,VI.E.5.b,Constructs Simple Patterns,,,,PK,,- Lines up blocks in a repeating color sequence.
Developmental Milestones,5.7.6.2.3,VI.E.5.c,Expands Existing Patterns,,,,PK,,- Builds on familiar routines.
Standard,5.8,MATH.8,Child measures objects by their various attributes using standard and non-standard measurement; uses differences in attributes to make comparisons,,,,,,Stacks blocks to see which is taller or shorter.
Label,5.8.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.8.1.1,,Explores objects of different sizes and weights by touching or mouthing.,,,,,,- Touches and mouths toys of various sizes and weights.
Label,5.8.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.8.2.1,,Begins stacking objects of similar size.,,,,,,- Stacks blocks of the same size.
Label,5.8.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.8.3.1,,Matches or lines up objects by size with support.,,,,,,- Lines up toys from smallest to biggest with a little help.
Label,5.8.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.8.4.1,,"Uses hands or other items to compare object sizes (e.g., “This block is longer”).",,,,,,Stacks or lines up objects to see which is bigger or longer.
Label,5.8.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.8.5.1,MATH.8.a,Understanding of Measurement,,,,,,Stacks blocks to explore size and height differences.
Developmental Milestones,5.8.5.2,MATH.8.b,Application of Measurement,,,,,,- Measures objects by using everyday items like blocks or hands.
Developmental Milestones,5.8.5.3,MATH.8.c,Comparison and Differentiation,,,,,,Notice differences between toys or objects.
Label,5.8.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.8.6.1,VI.D.1,Measures and compares lengths/heights,,,,PK,,Stacks blocks to see which tower is taller.
Developmental Milestones,5.8.6.1.1,VI.D.1.a,Recognize and Understand Basic Units of Measurement,,,,PK,,Notice and compare sizes or amounts during play.
Developmental Milestones,5.8.6.1.2,VI.D.1.b,Using Comparative Language,,,,PK,,"Use words like ""bigger"" or ""smaller"" to compare objects."
Developmental Milestones,5.8.6.1.3,VI.D.1.c,Hands-on Measurement Activities,,,,PK,,- Stack blocks to see which tower is taller.
Standard,5.8.6.2,VI.D.3,Uses time words,,,,PK,,"- Says words like ""now,"" ""later,"" or ""soon."""
Developmental Milestones,5.8.6.2.1,VI.D.3.a,Recognizes and Names Time Words,,,,PK,,"- Points to or repeats simple time words like ""now"" or ""later."""
Developmental Milestones,5.8.6.2.2,VI.D.3.b,Applies Time Words in Context,,,,PK,,"Uses simple time words like ""now"" and ""later"" during play."
Developmental Milestones,5.8.6.2.3,VI.D.3.c,Differentiates Between Time Words,,,,PK,,"Understands and uses words like ""now"" and ""later."""
Standard,5.8.6.3,VI.D.2,Compares weights,,,,PK,,Lifts and feels objects to notice which is heavier.
Developmental Milestones,5.8.6.3.1,VI.D.2.a,Identifies Heavier and Lighter Objects,,,,PK,,Picks up and compares the weight of different objects.
Developmental Milestones,5.8.6.3.2,VI.D.2.b,Uses Comparative Language,,,,PK,,"- Says words like ""bigger"" or ""smaller"" to compare objects."
Developmental Milestones,5.8.6.3.3,VI.D.2.c,Makes Predictions About Weights,,,,PK,,- Picks up objects and guesses which one is heavier.
Standard,5.8.6.4,VI.D.4,Child recognizes and compares capacity based on how much space exists within an object.,,NEW,,PK,,Fills and empties containers to explore how much they can hold.
Standard,5.9,MATH.9,"Child identifies, describes, compares, and composes shapes",,,,,,- Stacks and sorts shapes during play.
Label,5.9.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.9.1.1,,"Looks at and tracks simple shapes, such as circles or squares.",,,,,,- Watches and follows shapes like circles and squares with their eyes.
Label,5.9.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.9.2.1,,Reaches for or plays with toys of distinct shapes.,,,,,,- Grabs and explores toys with different shapes.
Label,5.9.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.9.3.1,,"Sorts objects by shape (e.g., circle blocks versus square blocks).",,,,,,Stacks round blocks together and square blocks together.
Label,5.9.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.9.4.1,,Identifies and names common shapes like “circle” and “triangle.”,,,,,,"Points to and says the names of shapes like ""circle"" and ""triangle."""
Label,5.9.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.9.5.1,MATH.9.a,Recognizes differences in shapes,,,,,,- Points to or touches different shapes.
Developmental Milestones,5.9.5.2,MATH.9.b,Can describe shapes with basic language,,,,,,Points to and names basic shapes like circles and squares.
Developmental Milestones,5.9.5.3,MATH.9.c,"Compare, compose and explore shapes",,,,,,- Stack and fit different shapes together during play.
Label,5.9.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.9.6.1,VI.C.1,Names common shapes,,,,PK,,Point to and say the names of shapes like circle or square.
Developmental Milestones,5.9.6.1.1,VI.C.1.a,Identifies Basic Geometric Shapes,,,,PK,,- Points to and names shapes like circles and squares.
Developmental Milestones,5.9.6.1.2,VI.C.1.b,Distinguishes Among Shapes,,,,PK,,- Sorts and plays with different shapes.
Developmental Milestones,5.9.6.1.3,VI.C.1.c,Names Shapes in Various Orientations and Sizes,,,,PK,,"- Points to and names different shapes, no matter how they are turned or how big they are."
Standard,5.9.6.2,VI.C.2,Creates shapes,,,,PK,,- Draws or stacks simple shapes.
Developmental Milestones,5.9.6.2.1,VI.C.2.a,Identifies Basic Shapes,,,,PK,,"- Points to and names circles, squares, and triangles."
Developmental Milestones,5.9.6.2.2,VI.C.2.b,Draws Basic Shapes,,,,PK,,- Scribbles simple shapes like circles and lines.
Developmental Milestones,5.9.6.2.3,VI.C.2.c,Child creates shapes using materials and/or manipulatives.,,,,PK,,- Builds and forms shapes with blocks or playdough.
Standard,5.9.6.3,VI.C.3,Compares shapes,,,,PK,,Stacks or sorts blocks by shape.
Developmental Milestones,5.9.6.3.1,VI.C.3.a,Identifies Basic Shapes,,,,PK,,- Points to or touches shapes like circles and squares.
Developmental Milestones,5.9.6.3.2,VI.C.3.b,Differentiates Between Shapes,,,,PK,,- Recognizes and points to different shapes.
Developmental Milestones,5.9.6.3.3,VI.C.3.c,Categorizes Shapes,,,,PK,,Sorts different shapes into groups.
Standard,5.9.6.4,VI.C.4,Identifies shape attributes,,,,PK,,Points to and names shapes like circles and squares.
Developmental Milestones,5.9.6.4.1,VI.C.4.a,Distinguishes between Geometric Shapes,,,,PK,,- Recognizes and points to familiar shapes like circles and squares.
Developmental Milestones,5.9.6.4.2,VI.C.4.b,Recognition of Shape Attributes,,,,PK,,- Points to or touches shapes like circles and squares.
Developmental Milestones,5.9.6.4.3,VI.C.4.c,Application and description of shape attributes to Real-world Objects,,,,PK,,"- Match shapes to everyday objects, like recognizing a clock as a circle."
Standard,5.1,MATH.10,Child explores the positions of objects in space,,,,,,- Moves and places objects around to see where they fit.
Label,5.10.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.10.1.1,,"Reaches for objects placed in different positions (e.g., above, beside, or in front).",,,,,,- Reaches for toys in different spots.
Label,5.10.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.10.2.1,,Searches for objects hidden under or behind others during play.,,,,,,- Looks for toys hidden under blankets during play.
Label,5.10.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.10.3.1,,"Places objects in specific positions during play, such as stacking blocks in order or aligning cars.",,,,,,- Stacks blocks or lines up cars during play.
Label,5.10.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.10.4.1,,Demonstrates understanding of positional words by correctly placing objects when instructed.,,,,,,"- Puts toys in the right spot when you say ""in,"" ""on,"" or ""under."""
Label,5.10.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.10.5.1,MATH.10.a,Child Identifies Relative Positions,,,,,,"- Points to or places objects in front of, behind, or next to other items."
Developmental Milestones,5.10.5.2,MATH.10.b,Child Manipulates Objects,,,,,,- Picks up and explores toys with hands and mouth.
Developmental Milestones,5.10.5.3,MATH.10.c,Child Understands Directionality,,,,,,"Follows simple directions like ""up"" and ""down."""
Label,5.10.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.10.6.1,VI.C.5,Uses location words,,,,PK,,"- Says words like ""in"" and ""under"" to describe where things are."
Developmental Milestones,5.10.6.1.1,VI.C.5.a,Identifies and Correctly Uses Basic Location Words,,,,PK,,"Points to or uses words like ""up,"" ""down,"" ""in,"" and ""out"" during play."
Developmental Milestones,5.10.6.1.2,VI.C.5.b,Understands Directional Statements,,,,PK,,"- Follows simple directions like ""up"" and ""down."""
Developmental Milestones,5.10.6.1.3,VI.C.5.c,Describes Objects' Positions Relative to Other Objects,,,,PK,,- Points to or places objects to show where they are compared to others.
Standard,5.10.6.2,VI.C.6,"Slides, flips, turns shapes",,,,PK,,- Flips and turns shapes while playing.
Developmental Milestones,5.10.6.2.1,VI.C.6.a,Understanding and Identifying Geometric Movements,,,,PK,,- Moves objects in circles or lines while playing.
Developmental Milestones,5.10.6.2.2,VI.C.6.b,Application of Geometric Movements,,,,PK,,"- Moves objects by turning, sliding, or rotating them."
Developmental Milestones,5.10.6.2.3,VI.C.6.c,Relating Movements to Real World Elements,,,,PK,,- Moves arms like flying a plane or legs like riding a bike.
Standard,5.10.6.3,VI.C.7,Recognizes shapes in real world,,,,PK,,Points to or touches familiar shapes in everyday objects.
Developmental Milestones,5.10.6.3.1,VI.C.7.a,Identifies Basic Shapes,,,,PK,,- Points to or touches basic shapes like circles and squares.
Developmental Milestones,5.10.6.3.2,VI.C.7.b,Applies Shape Recognition,,,,PK,,- Matches simple shapes like circles and squares to their outlines.
Developmental Milestones,5.10.6.3.3,VI.C.7.c,Compares and Differentiates Shapes,,,,PK,,Recognizes and points to different shapes.
Cluster,5.11,SCI,Scientific Reasoning,,,,,,
Standard,5.11.1,SCI.1,"Child observes and describes observable phenomena (objects, materials, organisms, and events)",,,,,,"- Watches and talks about things they see around them, like toys, animals, and events."
Label,5.11.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.1.1.1,,Reaches out to touch and explore objects with different textures.,,,,,,- Touches and explores objects with varied textures.
Label,5.11.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.1.2.1,,"Watches and tracks events, like a ball rolling or water flowing.",,,,,,- Follows a rolling ball or flowing water with their eyes.
Label,5.11.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.1.3.1,,"Describes basic features of objects, such as color or shape.",,,,,,Points to or names colors and shapes of objects.
Label,5.11.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
